epoch,accuracy,loss,val_accuracy,val_loss
0,0.8913892,0.29625956569280887,0.94563955,0.18692143265481875
1,0.92816,0.23434665643920502,0.9457819,0.20328269477771677
2,0.92928267,0.21969529217178072,0.94538414,0.20085130097425502
3,0.9284097,0.21554095285979133,0.94537187,0.18874701614613118
4,0.9285317,0.20766994039769526,0.9458008,0.21845832774820534
5,0.9312051,0.2090832992905268,0.9449282,0.21541542373597622
6,0.93135935,0.20459427870810032,0.9478785,0.17735300561332185
7,0.9322232,0.20354722398850653,0.9261065,0.22090162029084953
8,0.9308745,0.2006484641245118,0.9188896,0.2504875721490901
9,0.9339269,0.19356649969187048,0.9488714,0.1793400741627683
10,0.9334844,0.19517011440324564,0.9484611,0.18158239069516244
11,0.93417877,0.19311441274152863,0.94946206,0.16957122063183266
12,0.9360421,0.18524504846168888,0.94500124,0.17873004273228024
13,0.93793213,0.18418427815453875,0.9507418,0.17448956126590137
14,0.93736255,0.1809573242682274,0.9492794,0.17819687886082608
15,0.9374432,0.1862480396197902,0.9493627,0.17084158819330775
16,0.9372746,0.18708886889119944,0.9492116,0.17444059048252908
17,0.9411377,0.17526902865480493,0.94777364,0.17432144012950038
18,0.9417847,0.17279086522413073,0.9475858,0.18030410745869513
19,0.94300085,0.17619521743445485,0.9522404,0.17920611244018958
20,0.9426294,0.1690515316677866,0.94834214,0.1680963054785262
21,0.9434071,0.16798812057822943,0.951711,0.16618695128304156
22,0.9427506,0.16783617762848735,0.9508225,0.16129740279005922
23,0.9449359,0.16003107445107567,0.9457615,0.17601258526353733
24,0.9432756,0.16679603589215763,0.93215394,0.209681182856793
25,0.9452611,0.16307388542702905,0.9268311,0.21482912029909051
26,0.9466773,0.15818442778523872,0.94636786,0.1781327512682132
27,0.9466006,0.15858270141675515,0.95076555,0.18345896527171135
28,0.9467129,0.15676003194379587,0.95135224,0.1549935483009271
29,0.9474576,0.15324840285918778,0.9411679,0.19924713476844455
30,0.9497115,0.1511322178153528,0.95118773,0.1625741371561004
31,0.9494915,0.14709768106264096,0.9461693,0.18555946206754964
32,0.9515598,0.14864190157364915,0.9455855,0.1707849698951063
33,0.9492471,0.14782981974659143,0.9501678,0.19240644371703916
34,0.95240355,0.14240093110129237,0.94385993,0.1771662125930838
35,0.948093,0.14948328399892757,0.9530784,0.1693408138361638
36,0.9514067,0.14522092629017103,0.95401937,0.14619909801884837
37,0.95357215,0.13844932960691275,0.939921,0.2041132572390463
38,0.95299464,0.14058593612302234,0.9552813,0.15486815984806288
39,0.95312464,0.13890247986893411,0.9532265,0.16834606254554313
40,0.95272374,0.1399650707220038,0.94037014,0.191202059995545
41,0.9530778,0.13939849630481116,0.9497432,0.16296911154590224
42,0.9558102,0.13318474935712638,0.94680154,0.16430507976885722
43,0.9533358,0.13479669637012262,0.9333261,0.236559071800793
44,0.95581806,0.1300905601259459,0.94750124,0.15436220092132039
45,0.9564284,0.13202413105992256,0.9443221,0.17600779907534952
46,0.9542186,0.1334458091986124,0.95495707,0.1503370924366881
47,0.9581702,0.12478009031878577,0.94610107,0.19984265773192697
48,0.9577124,0.12513893889263272,0.94617975,0.15817957618476255
49,0.95672804,0.12744394127555467,0.9298832,0.18714412034529707
50,0.95626605,0.12689071955780187,0.9365894,0.19136988318970669
51,0.9562146,0.1282760214957374,0.94151604,0.18955237191656363
52,0.9600075,0.11954232610555159,0.9285475,0.196007313368761
53,0.96057045,0.12061917755959763,0.9294572,0.23783743292417214
54,0.9598083,0.12003971579381162,0.9515673,0.42028902058044204
55,0.96073824,0.11693720172883736,0.9551868,0.153293217714552
56,0.96162045,0.11509466566214407,0.9258072,0.19217935382671977
