epoch,accuracy,loss,val_accuracy,val_loss
0,0.79172546,0.4531368501484394,0.97301567,0.17420109494456223
1,0.95979625,0.1538454918190837,0.9760808,0.09774719790688582
2,0.9578055,0.14082857631146908,0.97574234,0.10908859821834735
3,0.96298295,0.1287285268306732,0.97642475,0.098229513370565
4,0.9634267,0.12494252622127533,0.89071435,0.21068300493061543
5,0.9642361,0.1167196488007903,0.97675693,0.09287145740485617
6,0.96386373,0.11329888254404068,0.9757506,0.10908829793334007
7,0.9658705,0.10607570651918649,0.9768843,0.09402621337877852
8,0.9642951,0.1165299529209733,0.97357017,0.11745127051004342
9,0.9674182,0.10726108755916357,0.97761863,0.09337530019027847
10,0.96738577,0.10105735622346401,0.9598055,0.11937432909118277
11,0.9697968,0.09762355480343103,0.97715884,0.10557236123297896
12,0.96781933,0.09624529797583818,0.9769017,0.11284876614809036
13,0.9681959,0.0978109055198729,0.9770938,0.11499634464936596
14,0.9706146,0.09256246536970139,0.9783569,0.1029787700889366
15,0.9728812,0.08835819931700825,0.9778776,0.08610975848776954
16,0.9718212,0.09153023939579726,0.97708195,0.09982289440397706
17,0.9726369,0.08711463315412402,0.97427493,0.14588682659502542
18,0.9731587,0.08811315409839153,0.89487827,0.28444360861820833
19,0.97491217,0.08270067162811756,0.97610486,0.12018599494227342
20,0.97637355,0.07863881383091212,0.97775555,0.09284749973033156
21,0.9738631,0.08156708907335997,0.97353035,0.10466963997376817
22,0.97501314,0.07901236303150654,0.976369,0.11074797516422612
23,0.97478056,0.08359617879614234,0.9772738,0.09594207642866033
24,0.96754646,0.09434299813583494,0.9761343,0.15165260753461293
25,0.970922,0.09364274172112345,0.97622055,0.09818192418398601
26,0.9738966,0.08507113121449947,0.96450394,0.11505902079599244
27,0.9767884,0.07641536574810744,0.9747392,0.09957342860954148
28,0.97596276,0.07624615002423525,0.97668797,0.0956193720921874
29,0.98027104,0.06866367906332016,0.9778674,0.09351133628349219
30,0.9768628,0.07568304855376481,0.97713196,0.10343202203512192
31,0.9773631,0.07174740191549063,0.9761291,0.10361282168222326
32,0.97877467,0.06990354964509607,0.9760718,0.10244735330343246
33,0.98070115,0.06407942129299045,0.9737129,0.09927554880934102
34,0.98041093,0.06560038141906262,0.97573537,0.09421458427927323
35,0.9731518,0.07854638053104282,0.9754626,0.1385776927428586
